Gene	WT_rep1
ENSRNA049471356	0
ENSRNA049471366	48
ENSRNA049471381	9
ENSRNA049471498	0
ENSRNA049471512	2
ENSRNA049471527	1
ENSRNA049471535	1
ENSRNA049471546	0
ENSRNA049471555	37
ENSRNA049471560	0
ENSRNA049471578	0
ENSRNA049471602	72
ENSRNA049471632	0
ENSRNA049471650	1
ENSRNA049471695	0
ENSRNA049471700	0
ENSRNA049471707	0
ENSRNA049471715	1
ENSRNA049471723	0
ENSRNA049471743	0
ENSRNA049471755	0
ENSRNA049471772	1
ENSRNA049471778	0
ENSRNA049471791	0
ENSRNA049471802	0
ENSRNA049471835	0
ENSRNA049471844	0
ENSRNA049471864	0
ENSRNA049471882	0
ENSRNA049471985	0
ENSRNA049472003	3
ENSRNA049472018	0
ENSRNA049472036	0
ENSRNA049472044	1
ENSRNA049472058	0
ENSRNA049472073	3
ENSRNA049472089	0
ENSRNA049472108	2
ENSRNA049472120	5
ENSRNA049472132	5
ENSRNA049472144	0
ENSRNA049472154	0
ENSRNA049472167	0
ENSRNA049472178	5
ENSRNA049472195	4
ENSRNA049472208	0
ENSRNA049472220	2
ENSRNA049472231	3
ENSRNA049472287	0
ENSRNA049472320	0
ENSRNA049472329	0
ENSRNA049472337	0
ENSRNA049472341	0
ENSRNA049472354	0
ENSRNA049472419	0
ENSRNA049472429	0
ENSRNA049472455	1
ENSRNA049472463	0
ENSRNA049472477	7
ENSRNA049472487	0
ENSRNA049472500	21
ENSRNA049472510	0
ENSRNA049472523	0
ENSRNA049472532	0
ENSRNA049472543	0
ENSRNA049472556	0
ENSRNA049472570	0
ENSRNA049472690	1
ENSRNA049472701	0
ENSRNA049472720	0
ENSRNA049472737	0
ENSRNA049472745	0
ENSRNA049472760	1
ENSRNA049472768	0
ENSRNA049472772	0
ENSRNA049472779	0
ENSRNA049472788	23
ENSRNA049472799	0
ENSRNA049472807	0
ENSRNA049472886	0
ENSRNA049472894	1
ENSRNA049472901	0
ENSRNA049472907	0
ENSRNA049472915	13
ENSRNA049472923	1
ENSRNA049472947	5
ENSRNA049472954	6
ENSRNA049472964	0
ENSRNA049472976	1
ENSRNA049472987	0
